countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2025-12-27,SURVEY,8563734,0.7204009122735219,7386267,0.6213496815466657,,,9425102,0.7928611930433725
HTI,Haiti,,national,,2025-12-26,SURVEY,8582614,0.721989125609898,7381811,0.6209748326302953,,,9459484,0.7957534395921213
HTI,Haiti,,national,,2025-12-25,SURVEY,8581660,0.7219088433197881,7390000,0.6216637100486428,,,9484922,0.797893353883268
HTI,Haiti,,national,,2025-12-24,SURVEY,8578206,0.7216183021771246,7443084,0.6261292575972521,,,9524488,0.8012217306020389
HTI,Haiti,,national,,2025-12-23,SURVEY,8551041,0.7193331357020376,7493923,0.630405995381264,,,9489467,0.7982756781602388
HTI,Haiti,,national,,2025-12-22,SURVEY,8590601,0.7226610072217065,7554228,0.6354789452007225,,,9509418,0.7999540019327936
HTI,Haiti,,national,,2025-12-21,SURVEY,8514112,0.716226589867483,7521721,0.6327443819771026,,,9587507,0.806523027298692
HTI,Haiti,,national,,2025-12-20,SURVEY,8509539,0.7158418986400874,7540410,0.6343165434219062,,,9603624,0.807878826218158
HTI,Haiti,,national,,2025-12-19,SURVEY,8580447,0.7218068295143111,7547406,0.6349050629503907,,,9639211,0.8108724989714461
HTI,Haiti,,national,,2025-12-18,SURVEY,8555626,0.719718830215979,7611618,0.640306723322467,,,9712165,0.8170095470117019
HTI,Haiti,,national,,2025-12-17,SURVEY,8581763,0.7219175344446765,7669931,0.6452121463162513,,,9701985,0.8161531646004496
HTI,Haiti,,national,,2025-12-16,SURVEY,8583570,0.7220695558137867,7769392,0.6535790332262849,,,9727087,0.8182648138262377
HTI,Haiti,,national,,2025-12-15,SURVEY,8542725,0.7186335809213802,7856236,0.6608845492256712,,,9733607,0.8188133041519301
HTI,Haiti,,national,,2025-12-14,SURVEY,8525476,0.7171825586370993,7867473,0.6618298313785557,,,9741322,0.8194622768265245
